16	16																			
10	2	5	3	18	24	3	5	3	2	3	3	3	2	2	2					
17	7	2	5	1	0	0	0	5	2	2	0	0	0	0	0	0	2	5	9	13
17	0	0	0	3	18	18	3	0	0	0	0	0	0	0	0	0	3			
17	10	0	0	3	18	18	0	0	3	0	3	3	0	0	0	0	4			
24	8	2	0	3	12	24	3	0	0	0	0	0	3	0	2	2				
2	7	2	5	1	0	0	0	5	2	2	0	0	0	0	0	0	6			
13	0	0	0	2	12	12	2	0	0	0	0	0	0	0	0	0	7			
15	6	0	0	1	12	12	0	0	2	0	2	2	0	0	0	0	8			
26	4	2	0	2	8	16	2	0	0	0	0	0	2	2	1	0				
3	7	2	5	1	0	0	0	5	2	2	0	0	0	0	0	0	10			
3	0	0	0	1	6	6	1	0	0	0	0	0	0	0	0	0	11			
10	3	0	0	1	6	6	0	0	1	0	1	1	0	0	0	0	12			
11	2	1	0	1	4	8	1	0	0	0	0	0	1	1	0	0				
1	7	2	5	1	0	0	0	5	2	2	0	0	0	0	0	0	14			
7	0	0	0	1	6	6	1	0	0	0	0	0	0	0	0	0	15			
7	3	0	0	1	6	6	0	0	1	0	1	1	0	0	0	0	16			
17	3	1	0	1	4	8	1	0	0	0	0	0	1	1	1	0				
